id,variable,value
1,type,mcmc
1,chain_no,1
1,status,not estimated
1,sample,west
1,W,border
1,seed,43
1,file,mcmc_border_west_1.Rds
2,type,mcmc
2,chain_no,2
2,status,not estimated
2,sample,west
2,W,border
2,seed,44
2,file,mcmc_border_west_2.Rds
3,type,mcmc
3,chain_no,3
3,status,not estimated
3,sample,west
3,W,border
3,seed,45
3,file,mcmc_border_west_3.Rds
4,type,mcmc
4,chain_no,4
4,status,not estimated
4,sample,west
4,W,border
4,seed,46
4,file,mcmc_border_west_4.Rds
5,type,mcmc
5,chain_no,5
5,status,not estimated
5,sample,west
5,W,border
5,seed,47
5,file,mcmc_border_west_5.Rds
6,type,mcmc
6,chain_no,1
6,status,not estimated
6,sample,east
6,W,border
6,seed,43
6,file,mcmc_border_east_1.Rds
7,type,mcmc
7,chain_no,2
7,status,not estimated
7,sample,east
7,W,border
7,seed,44
7,file,mcmc_border_east_2.Rds
8,type,mcmc
8,chain_no,3
8,status,not estimated
8,sample,east
8,W,border
8,seed,45
8,file,mcmc_border_east_3.Rds
9,type,mcmc
9,chain_no,4
9,status,not estimated
9,sample,east
9,W,border
9,seed,46
9,file,mcmc_border_east_4.Rds
10,type,mcmc
10,chain_no,5
10,status,not estimated
10,sample,east
10,W,border
10,seed,47
10,file,mcmc_border_east_5.Rds
11,type,mcmc
11,chain_no,1
11,status,not estimated
11,sample,all
11,W,border
11,seed,43
11,file,mcmc_border_all_1.Rds
12,type,mcmc
12,chain_no,2
12,status,not estimated
12,sample,all
12,W,border
12,seed,44
12,file,mcmc_border_all_2.Rds
13,type,mcmc
13,chain_no,3
13,status,not estimated
13,sample,all
13,W,border
13,seed,45
13,file,mcmc_border_all_3.Rds
14,type,mcmc
14,chain_no,4
14,status,not estimated
14,sample,all
14,W,border
14,seed,46
14,file,mcmc_border_all_4.Rds
15,type,mcmc
15,chain_no,5
15,status,not estimated
15,sample,all
15,W,border
15,seed,47
15,file,mcmc_border_all_5.Rds
16,type,mcmc
16,chain_no,1
16,status,not estimated
16,sample,west
16,W,road
16,seed,43
16,file,mcmc_road_west_1.Rds
17,type,mcmc
17,chain_no,2
17,status,not estimated
17,sample,west
17,W,road
17,seed,44
17,file,mcmc_road_west_2.Rds
18,type,mcmc
18,chain_no,3
18,status,not estimated
18,sample,west
18,W,road
18,seed,45
18,file,mcmc_road_west_3.Rds
19,type,mcmc
19,chain_no,4
19,status,not estimated
19,sample,west
19,W,road
19,seed,46
19,file,mcmc_road_west_4.Rds
20,type,mcmc
20,chain_no,5
20,status,not estimated
20,sample,west
20,W,road
20,seed,47
20,file,mcmc_road_west_5.Rds
21,type,mcmc
21,chain_no,1
21,status,not estimated
21,sample,east
21,W,road
21,seed,43
21,file,mcmc_road_east_1.Rds
22,type,mcmc
22,chain_no,2
22,status,not estimated
22,sample,east
22,W,road
22,seed,44
22,file,mcmc_road_east_2.Rds
23,type,mcmc
23,chain_no,3
23,status,not estimated
23,sample,east
23,W,road
23,seed,45
23,file,mcmc_road_east_3.Rds
24,type,mcmc
24,chain_no,4
24,status,not estimated
24,sample,east
24,W,road
24,seed,46
24,file,mcmc_road_east_4.Rds
25,type,mcmc
25,chain_no,5
25,status,not estimated
25,sample,east
25,W,road
25,seed,47
25,file,mcmc_road_east_5.Rds
26,type,mcmc
26,chain_no,1
26,status,not estimated
26,sample,all
26,W,road
26,seed,43
26,file,mcmc_road_all_1.Rds
27,type,mcmc
27,chain_no,2
27,status,not estimated
27,sample,all
27,W,road
27,seed,44
27,file,mcmc_road_all_2.Rds
28,type,mcmc
28,chain_no,3
28,status,not estimated
28,sample,all
28,W,road
28,seed,45
28,file,mcmc_road_all_3.Rds
29,type,mcmc
29,chain_no,4
29,status,not estimated
29,sample,all
29,W,road
29,seed,46
29,file,mcmc_road_all_4.Rds
30,type,mcmc
30,chain_no,5
30,status,not estimated
30,sample,all
30,W,road
30,seed,47
30,file,mcmc_road_all_5.Rds
